profile pic,nums/length username,fullname words,nums/length fullname,name==username,description length,external URL,private,#posts,#followers,#follows,fake
1,0.27,0,0.0,0,53,0,0,32,1000,955,0
1,0.0,2,0.0,0,50,0,0,16,122,177,0
1,0.0,2,0.0,0,0,0,0,33,1078,76,0
1,0.0,2,0.0,0,81,0,0,50,691,680,0
1,0.0,2,0.0,0,0,0,0,8,105,98,0
1,0.0,1,0.0,0,4,0,0,91,369,546,0
1,0.0,0,0.0,0,82,0,0,12,313,376,0
1,0.0,1,0.0,0,3,0,0,12,108,97,0
1,0.19,2,0.0,0,0,0,0,19,60,100,0
1,0.0,2,0.0,0,64,0,0,22,223,266,0
1,0.0,3,0.0,0,0,0,0,122,539,639,0
1,0.33,2,0.0,0,70,0,0,74,399,452,0
1,0.0,1,0.0,0,74,0,0,13,581,568,0
1,0.0,2,0.0,0,35,0,0,77,417,362,0
1,0.0,3,0.0,0,28,0,0,172,470,288,0
1,0.33,1,0.0,0,36,0,0,111,807,675,0
1,0.0,2,0.0,0,2,0,0,38,162,256,0
1,0.0,1,0.0,0,12,0,0,61,1135,899,0
1,0.0,2,0.0,0,54,0,0,77,565,469,0
1,0.0,1,0.0,0,24,0,0,20,699,599,0
1,0.0,3,0.0,0,0,0,0,189,673,438,0
1,0.0,2,0.0,0,0,0,0,9,218,75,0
1,0.0,1,0.0,0,0,0,0,1,331,333,0
1,0.0,1,0.0,0,0,0,0,114,490,1093,0
1,0.0,2,0.0,0,40,0,0,65,492,689,0
1,0.29,2,0.0,0,0,0,0,10,167,164,0
1,0.0,2,0.0,0,0,0,0,0,192,65,0
1,0.29,1,0.0,0,15,0,0,43,505,503,0
1,0.0,2,0.0,0,55,0,0,220,622,475,0
1,0.1,0,0.0,0,0,0,0,11,125,101,0
1,0.0,1,0.0,0,0,0,0,74,137,96,0
1,0.0,2,0.0,0,0,0,0,142,876,529,0
1,0.0,2,0.0,0,0,0,0,5,135,176,0
1,0.0,2,0.0,0,35,0,0,192,984,76,0
1,0.0,2,0.0,0,53,0,0,201,875,754,0
1,0.0,1,0.0,0,20,0,0,20,106,133,0
1,0.0,2,0.0,0,17,0,0,63,416,292,0
1,0.0,2,0.0,0,86,0,0,15,433,584,0
1,0.0,2,0.0,0,34,0,0,2,81,268,0
1,0.0,1,0.0,0,19,0,0,78,947,582,0
1,0.0,2,0.0,0,0,0,0,28,206,333,0
1,0.0,2,0.0,0,42,0,0,111,541,701,0
1,0.18,3,0.0,0,50,0,0,6,392,237,0
1,0.0,2,0.0,0,0,0,0,0,96,50,0
1,0.19,0,0.0,0,0,0,0,1,104,15,0
1,0.0,0,0.0,0,6,0,0,13,300,372,0
1,0.15,1,0.0,0,0,0,0,204,139,61,0
1,0.0,1,0.0,0,64,0,0,15,428,333,0
1,0.0,1,0.0,0,0,0,0,108,494,545,0
1,0.0,2,0.0,0,23,0,0,85,668,609,0
1,0.14,2,0.0,0,34,0,0,14,410,387,0
1,0.0,2,0.0,0,12,0,0,197,1070,1072,0
1,0.0,2,0.0,0,50,0,0,53,380,462,0
1,0.11,1,0.0,0,0,0,0,1,77,34,0
1,0.0,2,0.0,0,7,0,0,5,406,408,0
1,0.0,2,0.0,0,0,0,0,3,37,22,0
0,0.22,1,0.0,0,0,0,0,0,90,333,1
0,0.38,1,0.0,0,0,0,0,0,60,31,1
0,0.31,2,0.0,0,0,0,0,0,39,64,1
0,0.0,2,0.0,0,0,0,0,0,12,5,1
0,0.33,1,0.0,0,0,0,0,0,10,18,1
0,0.0,1,0.0,0,0,0,0,0,1,8,1
1,0.57,1,0.0,0,0,0,0,0,47,10,1
0,0.45,3,0.0,0,0,0,0,0,33,4,1
0,0.0,1,0.0,0,0,0,0,0,48,6,1
0,0.55,1,0.0,0,0,0,0,0,26,46,1
0,0.0,1,0.0,0,0,0,0,0,115,230,1
0,0.4,1,0.0,0,0,0,0,0,24,49,1
0,0.36,1,0.0,0,0,0,0,0,21,44,1
1,0.43,0,0.0,0,0,0,0,0,49,79,1
1,0.25,1,0.0,0,0,0,0,0,4,3,1
0,0.0,1,0.0,0,0,0,0,1,3,1,1
0,0.0,2,0.0,0,0,0,0,0,2,30,1
