activity_id,user_id,timestamp,content,post_country,post_region,post_city,device,platform,likes,comments,shares,hour_of_day,day_of_week,is_weekend,has_media,media_type,character_count,hashtag_count,mention_count,contains_url,content_type,is_fake,language
19e8792e-0afd-4e51-a95b-8812e023dfe9_12,19e8792e-0afd-4e51-a95b-8812e023dfe9,2025-04-01 23:58:00,Looking for some fun tonight... who's available? 😈 DM me or follow my link,0,0,0,0,0,2,0,0,23,1,0,1,0,74,0,0,0,0,1,0
f0f737ae-4461-416c-846f-57641e03bf2d_21,f0f737ae-4461-416c-846f-57641e03bf2d,2025-04-04 19:36:00,The secret method that celebrities use to lose weight fast! I lost 500 pounds in two years! account-verify.net #weightloss,1,1,1,1,1,2,0,0,19,4,0,1,1,122,1,0,0,1,1,0
8b3ee8f7-3745-4385-976f-105e0bb9a18f_1,8b3ee8f7-3745-4385-976f-105e0bb9a18f,2021-02-04 10:10:00,What does everyone think about that viral video? I'm curious to hear opinions.,2,2,2,2,0,10,7,0,10,3,0,0,2,78,0,0,0,2,0,1
c97a3589-f675-4e8a-ba37-dc9387255f68_18,c97a3589-f675-4e8a-ba37-dc9387255f68,2022-04-06 22:33:00,What does everyone think about the new movie everyone is talking about? I'm curious to hear opinions.,3,3,3,3,2,5,8,3,22,2,0,1,0,101,0,0,0,2,0,2
f9557168-950a-42fd-b525-b2ac1b41fe1d_17,f9557168-950a-42fd-b525-b2ac1b41fe1d,2023-04-30 17:37:00,What does everyone think about the new movie everyone is talking about? I'm curious to hear opinions.,4,4,4,4,2,27,2,1,17,6,1,0,2,101,0,0,0,2,0,3
802c1184-82a5-4a8e-b778-55fbc82915c9_9,802c1184-82a5-4a8e-b778-55fbc82915c9,2025-03-11 12:02:00,This investment opportunity is changing lives! Turn $1000 into $1000 in three days! login-support.com,5,5,5,3,1,0,0,0,12,1,0,0,2,101,0,0,0,1,1,0
f5004e7c-24c7-4ef2-a06e-3900ac86fcaf_0,f5004e7c-24c7-4ef2-a06e-3900ac86fcaf,2024-11-13 20:26:00,Can't believe it's been three days since wedding! Time flies.,6,6,6,4,2,37,7,2,20,2,0,1,1,61,0,0,0,3,0,0
48661d6d-dd59-40db-a0ce-29a4ab74b6b1_12,48661d6d-dd59-40db-a0ce-29a4ab74b6b1,2024-10-25 14:36:00,Can't believe it's been two years since birthday! Time flies.,7,7,7,3,1,1,6,1,14,4,0,1,1,61,0,0,0,3,0,0
cbe3f815-d547-41a3-ab6f-60be672db0b4_27,cbe3f815-d547-41a3-ab6f-60be672db0b4,2023-06-02 21:36:00,This gadget is surprisingly good! Worth every penny. #recommendation,8,8,8,4,1,5,8,2,21,4,0,1,1,68,1,0,0,2,0,4
b65904c2-10d3-4eb5-ad24-46e9d0dfd100_12,b65904c2-10d3-4eb5-ad24-46e9d0dfd100,2025-03-15 00:04:00,Financial freedom achieved! Made $50K last month with Wall Street insider's secret DeFi system. Link in bio 💰📈,9,9,9,1,1,6,1,0,0,5,1,0,2,110,0,0,0,4,1,2
8b898d3a-8c64-46ff-849f-4ed8018b6f5b_30,8b898d3a-8c64-46ff-849f-4ed8018b6f5b,2025-03-30 15:44:00,"🚀 Just made $5,000K in forever with this new crypto strategy! DM me to learn how! 💰",10,10,10,2,3,4,5,0,15,6,1,0,2,83,0,0,0,4,1,2
8c291e70-88a8-4a02-8d46-a53503c87cda_13,8c291e70-88a8-4a02-8d46-a53503c87cda,2025-03-19 16:09:00,My crypto investment just paid off BIG TIME! $10K in pure profit! Want to know my secret? Drop a 'YES' below! 💎🙌,11,11,11,2,0,1,3,0,16,2,0,1,0,112,0,0,0,4,1,0
2c6b6a5e-75f9-44b7-b229-ef5a25203320_12,2c6b6a5e-75f9-44b7-b229-ef5a25203320,2025-03-15 20:40:00,New gadget just arrived! So excited to try it out. 🌟,12,12,12,3,1,7,5,1,20,5,1,0,2,52,0,0,0,3,0,2
521fc4f0-d75e-41bd-be06-17dda7fe3042_14,521fc4f0-d75e-41bd-be06-17dda7fe3042,2025-03-20 14:25:00,Thanks to all my fans for your support! You guys are the best. ❤️,13,13,13,4,1,18,6,3,14,3,0,0,2,65,0,0,0,5,1,4
ec89490e-5671-46ec-9ce0-d70d2ed1bb97_4,ec89490e-5671-46ec-9ce0-d70d2ed1bb97,2023-03-24 11:02:00,Limited time offer: 20% off all items! Use code SUMMER10.,14,14,14,0,3,12,1,1,11,4,0,1,1,57,0,0,0,6,0,2
924ba0f3-0c9f-4164-b106-22d2a99eb9e0_1,924ba0f3-0c9f-4164-b106-22d2a99eb9e0,2023-07-14 20:05:00,Thanks to everyone who attended our festival yesterday! Great turnout!,15,15,15,5,0,28,6,1,20,4,0,0,2,70,0,0,0,7,0,5
13129cd0-ec0f-4889-9a5b-d120bca336f9_24,13129cd0-ec0f-4889-9a5b-d120bca336f9,2025-03-30 00:02:00,"Doctors are furious about this new weight loss trick! Lose 5,000 pounds without diet or exercise: security-check.site",16,16,16,3,1,0,0,0,0,6,1,0,2,117,0,0,0,1,1,1
8f5a78be-5c2b-4024-848a-a06145a14b79_4,8f5a78be-5c2b-4024-848a-a06145a14b79,2025-03-07 16:54:00,Just had an amazing steak at our schools! 😊,17,17,17,2,3,6,1,0,16,4,0,1,1,43,0,0,0,3,0,2
318f70a1-f170-42ee-a5f0-3a56db7bd4ef_14,318f70a1-f170-42ee-a5f0-3a56db7bd4ef,2025-04-04 08:07:00,ATTENTION! crypto is about to 🚀 10x in the next forever! DM me for the insider info!,13,18,18,5,3,1,0,0,8,4,0,1,1,84,0,0,0,4,1,2
93dc1d00-0fb7-4388-832b-510f648c4336_25,93dc1d00-0fb7-4388-832b-510f648c4336,2025-03-28 08:08:00,The secret method that celebrities use to lose weight fast! I lost 100 pounds in a week! bit.ly/verify-now #weightloss,18,19,19,4,2,0,0,0,8,4,0,0,2,118,1,0,1,1,1,0
af478e62-9fce-463c-89df-dd7ab8ea674a_13,af478e62-9fce-463c-89df-dd7ab8ea674a,2025-03-02 10:18:00,FACT: foreigners are responsible for the rise in taxes in our city! Research it yourself!,1,20,20,5,3,9,8,6,10,6,1,0,2,89,0,0,0,8,1,6
41146540-13b4-4d74-b6bf-53f52f95174c_17,41146540-13b4-4d74-b6bf-53f52f95174c,2025-04-01 16:09:00,"BREAKING: New DeFi mining strategy generating $1,000K daily! Only sharing with the next 100 people who DM me! #cryptomillionaire",19,21,21,1,1,0,0,0,16,1,0,1,1,128,1,0,0,4,1,4
34c61fdc-3786-489a-be54-7d22975d249c_10,34c61fdc-3786-489a-be54-7d22975d249c,2025-03-02 17:54:00,⚠️ URGENT: Web3 is about to skyrocket! My team has insider info that it will jump 1000x in forever! DM me now to get in early! 💰💰💰,20,3,22,4,1,1,0,0,17,6,1,1,1,130,0,0,0,4,1,5
ad828b09-82fb-4bb9-b885-61791c274cc1_28,ad828b09-82fb-4bb9-b885-61791c274cc1,2025-04-04 16:00:00,The secret method that celebrities use to lose weight fast! I lost 50 pounds in a month! bit.ly/verify-now #weightloss,21,5,23,3,2,0,0,0,16,4,0,1,1,118,1,0,1,1,1,1
b6f683cd-84af-4924-8a34-d130055004cf_22,b6f683cd-84af-4924-8a34-d130055004cf,2025-03-22 12:06:00,BREAKING NEWS: famous actor just revealed their secret to success! Read here: security-check.site,22,22,24,0,3,0,0,0,12,5,1,1,1,97,0,0,0,1,1,0
f7b48cc6-34aa-4fc4-8e9d-0b65e0bbae99_12,f7b48cc6-34aa-4fc4-8e9d-0b65e0bbae99,2020-11-30 17:17:00,Finally got around to starting that project after putting it off forever! 🎉,23,23,25,5,3,14,2,1,17,0,0,0,2,75,0,0,0,2,0,0
2c80e2ac-a056-440d-8e5f-2a89d1f15769_17,2c80e2ac-a056-440d-8e5f-2a89d1f15769,2023-03-16 09:21:00,Need recommendations for gyms in this hidden spot! Help a friend out.,5,24,26,3,1,55,4,5,9,3,0,1,1,69,0,0,0,2,0,3
a07a9517-cc99-4ab4-963f-51595297056d_22,a07a9517-cc99-4ab4-963f-51595297056d,2024-01-02 08:14:00,Feeling exhausted after meal prepping. Anyone else?,24,15,27,4,1,7,4,0,8,1,0,1,0,51,0,0,0,2,0,6
a314df38-1bcb-4b9d-873c-74d24e29adb3_2,a314df38-1bcb-4b9d-873c-74d24e29adb3,2025-01-04 21:59:00,When will people wake up to the liberals agenda? They're literally replacing us! Research the statistics!,25,21,28,3,1,5,14,2,21,5,1,0,2,105,0,0,0,8,1,2
a24ed7de-5f64-4ca4-882a-fad1b513acae_10,a24ed7de-5f64-4ca4-882a-fad1b513acae,2023-05-04 07:04:00,Beautiful day at this cute cafe! #nature #photography 😊,26,25,29,0,0,20,2,1,7,3,0,1,1,55,2,0,0,3,0,2
d55b6ce3-035d-4d7c-8de5-80f871f624b5_12,d55b6ce3-035d-4d7c-8de5-80f871f624b5,2025-03-06 20:28:00,Feeling grateful for another amazing day. Love you all! 🙏,27,26,30,3,1,17,15,3,20,3,0,1,1,57,0,0,0,5,1,1
7cf1b285-9ea6-48ac-aafb-12b592e08c46_0,7cf1b285-9ea6-48ac-aafb-12b592e08c46,2025-03-30 10:52:00,Your TikTok account will be deleted in 24 hours due to violations. Appeal here: login-support.com,28,27,31,0,0,7,4,0,10,6,1,1,1,97,0,0,0,9,1,4
95eb0218-7e46-4352-aa1c-0b55238f46ef_4,95eb0218-7e46-4352-aa1c-0b55238f46ef,2025-02-28 23:48:00,I'm so lonely tonight... Anyone want to keep me company? 😘 Check my profile for more...,29,28,32,3,2,20,1,0,23,4,0,1,0,87,0,0,0,0,1,0
7166041e-8869-49fc-bf47-374fa88b1009_17,7166041e-8869-49fc-bf47-374fa88b1009,2023-03-10 19:26:00,Just posted a new story on my profile! Check it out ✨,0,29,33,4,1,39,8,0,19,4,0,0,2,53,0,0,0,2,0,4
4c1342ea-62ce-4791-88c4-e3ce22afca88_11,4c1342ea-62ce-4791-88c4-e3ce22afca88,2025-03-18 22:09:00,Looking for some fun tonight... who's available? 😈 DM me or follow my link,30,30,34,0,0,4,0,0,22,1,0,1,0,74,0,0,0,0,1,5
c11a5be1-9e1c-429a-9ef0-1f1147d00a3e_17,c11a5be1-9e1c-429a-9ef0-1f1147d00a3e,2025-04-05 16:00:00,ATTENTION! blockchain is about to 🚀 50x in the next three days! DM me for the insider info!,26,31,35,0,3,3,0,0,16,5,1,0,2,91,0,0,0,4,1,1
61d1cfa2-bac1-46b2-bb00-30dcd292f4f2_5,61d1cfa2-bac1-46b2-bb00-30dcd292f4f2,2025-01-21 12:20:00,Can't stand these liberals taking over our America! Time to take back our country!,31,21,36,4,1,7,3,0,12,1,0,0,2,82,0,0,0,8,1,5
d3634e39-2f64-4757-bf43-a21e333db1fc_17,d3634e39-2f64-4757-bf43-a21e333db1fc,2024-10-10 20:22:00,Just had an amazing salad at America! 💫,32,22,37,4,1,5,2,1,20,3,0,1,1,39,0,0,0,3,0,1
1c21af55-513e-4153-aa30-4aba1e63e0bb_11,1c21af55-513e-4153-aa30-4aba1e63e0bb,2025-02-19 00:18:00,Just got out of the shower... wish you were here 💦 Check my private page (link in bio),33,0,38,1,1,1,0,0,0,2,0,1,3,86,0,0,0,0,1,6
292e407b-5aeb-45f7-9ebe-68d8f754f52e_4,292e407b-5aeb-45f7-9ebe-68d8f754f52e,2022-08-19 18:52:00,New watch just arrived! So excited to try it out. 🎊,34,6,39,0,0,19,1,0,18,4,0,1,4,51,0,0,0,3,0,0
9fca495e-b775-459b-a695-21777836738e_37,9fca495e-b775-459b-a695-21777836738e,2025-03-31 14:23:00,BREAKING NEWS: famous actor just revealed their secret to success! Read here: login-support.com,35,25,40,3,1,0,0,0,14,0,0,0,2,95,0,0,0,1,1,6
f9871645-6799-4dad-908e-a4f18a288300_5,f9871645-6799-4dad-908e-a4f18a288300,2025-03-30 11:43:00,URGENT: Suspicious login detected on your account from our city. Secure it now: login-support.com,36,32,41,3,1,45,1,0,11,6,1,1,1,97,0,0,0,9,1,5
0a469341-4b90-42fb-80b0-970c0fc4ee77_0,0a469341-4b90-42fb-80b0-970c0fc4ee77,2024-07-09 15:18:00,So excited to announce my new project! Can't wait for you all to see it. 🎉,37,33,42,1,1,53,7,3,15,1,0,0,2,74,0,0,0,5,1,0
ebdd4c1f-d424-41e8-a49f-ccf4a26b7da3_18,ebdd4c1f-d424-41e8-a49f-ccf4a26b7da3,2025-02-28 22:03:00,"BREAKING: New Web3 mining strategy generating $5,000K daily! Only sharing with the next 10 people who DM me! #cryptomillionaire",38,8,43,5,0,21,2,0,22,4,0,0,2,127,1,0,0,4,1,0
9eedc0c7-236c-4055-a6a4-72229daf9d1e_10,9eedc0c7-236c-4055-a6a4-72229daf9d1e,2024-10-25 23:44:00,Just posted a new photo on my official page! Go check it out now.,39,34,44,4,2,35,5,2,23,4,0,0,2,65,0,0,0,5,1,3
e172af23-1072-46e0-9fb1-4ee59c6b5b86_30,e172af23-1072-46e0-9fb1-4ee59c6b5b86,2023-10-23 17:18:00,This skincare product is amazing! Worth every penny. #recommendation,40,35,45,1,2,17,4,6,17,0,0,1,1,68,1,0,0,2,0,0
c78dd246-bc92-4722-a8fa-ce2757e5f6de_23,c78dd246-bc92-4722-a8fa-ce2757e5f6de,2025-03-31 17:28:00,Beautiful day at the river! #nature #photography ❤️,41,22,46,3,2,3,3,0,17,0,0,1,1,51,2,0,0,3,0,6
f985c8f3-ba01-490a-ab0a-4cf88805fed9_13,f985c8f3-ba01-490a-ab0a-4cf88805fed9,2024-01-01 21:00:00,Just had an amazing pasta at our schools! 🌈,42,36,47,4,1,16,4,1,21,0,0,1,1,43,0,0,0,3,0,6
7ef28383-0d91-4990-854a-6859b7a2be27_6,7ef28383-0d91-4990-854a-6859b7a2be27,2025-03-20 11:51:00,"I can't believe this works! Made $10,000 from home in just forever! See how: securelogin.info/auth #workfromhome",43,37,48,1,2,0,0,0,11,3,0,1,1,112,1,0,0,1,1,3
66f1e9af-e87d-4e31-9c1f-e8cc97852959_2,66f1e9af-e87d-4e31-9c1f-e8cc97852959,2023-11-08 20:11:00,Beautiful day at this cute cafe! #nature #photography 🌟,44,38,49,2,3,2,2,1,20,2,0,1,1,55,2,0,0,3,0,5
774e979d-1685-4804-9b78-0c33de94b986_8,774e979d-1685-4804-9b78-0c33de94b986,2025-02-17 13:48:00,We've updated our terms of service. All users must re-authenticate by April 15th to continue using Pinterest: bit.ly/verify-now,13,39,13,3,1,7,2,0,13,0,0,1,1,127,0,0,1,9,1,4
8596147b-fc1f-4866-8096-60e3d6cf88d2_20,8596147b-fc1f-4866-8096-60e3d6cf88d2,2025-03-04 00:36:00,Q&A session tomorrow at so long! Drop your questions below and I'll answer as many as I can.,45,22,50,5,3,42,4,0,0,1,0,1,1,92,0,0,0,5,1,1
e467bb82-d46f-44b4-9d1d-cbcad05332f4_4,e467bb82-d46f-44b4-9d1d-cbcad05332f4,2025-03-20 17:02:00,URGENT: Suspicious login detected on your account from America. Secure it now: securelogin.info/auth,46,40,51,4,2,0,0,0,17,3,0,1,1,100,0,0,0,9,1,1
f3f48dde-62a9-44ed-9ee6-e2c5d80e0cae_12,f3f48dde-62a9-44ed-9ee6-e2c5d80e0cae,2023-06-23 06:20:00,Just had an amazing salad at America! 👌,47,41,52,4,2,5,0,1,6,4,0,1,1,39,0,0,0,3,0,1
50624c06-2533-402c-a2a0-d265bbbb72ae_17,50624c06-2533-402c-a2a0-d265bbbb72ae,2023-04-01 13:51:00,Highlight of my day was definitely finding the perfect coffee shop. 😍,48,42,53,4,1,16,3,0,13,5,1,1,1,69,0,0,0,2,0,2
d11a9310-d6f4-4a0a-b43c-35d44a1bc56f_15,d11a9310-d6f4-4a0a-b43c-35d44a1bc56f,2025-04-07 11:40:00,BREAKING NEWS: athlete just revealed their secret to success! Read here: bit.ly/verify-now,49,43,54,1,2,1,0,0,11,0,0,1,1,90,0,0,1,1,1,0
1e91a74f-8ef9-45fd-86a7-73530ca2b5a5_10,1e91a74f-8ef9-45fd-86a7-73530ca2b5a5,2020-05-20 15:24:00,This watch is worth every penny! Worth every penny. #recommendation,13,44,55,3,2,44,6,1,15,2,0,0,2,67,1,0,0,2,0,2
e872d1fd-3ffd-4b4b-a3f9-d038ee0856ba_9,e872d1fd-3ffd-4b4b-a3f9-d038ee0856ba,2025-04-02 05:57:00,"Quit my job thanks to DeFi trading! Now I make $5,000K monthly from anywhere! Learn my system (link in bio) 🏝️ #financialfreedom",39,39,28,1,2,0,0,0,5,2,0,1,3,128,1,0,0,4,1,0
0935cf61-51a2-4644-9529-39553a50005b_13,0935cf61-51a2-4644-9529-39553a50005b,2023-12-16 14:01:00,Just posted a new story on my profile! Check it out ✨,50,40,56,0,0,49,2,1,14,5,1,0,2,53,0,0,0,2,0,1
c3e15980-eb6c-4d90-8563-f41af273cb19_0,c3e15980-eb6c-4d90-8563-f41af273cb19,2025-03-10 11:45:00,⚠️ ACCOUNT SECURITY ALERT ⚠️ Your profile has been reported. Verify your identity here: security-check.site,51,45,57,4,2,1,1,0,11,0,0,1,1,107,0,0,0,9,1,4
b95c4e89-a903-4ff3-89d8-d1e8f7169f48_23,b95c4e89-a903-4ff3-89d8-d1e8f7169f48,2019-10-12 11:46:00,Join us this Thursday for our special event on fitness!,17,46,58,2,0,10,5,0,11,5,1,1,1,55,0,0,0,6,0,0
fbc684e6-abae-47df-9a50-6312b9fd56c5_2,fbc684e6-abae-47df-9a50-6312b9fd56c5,2022-08-06 18:46:00,Feeling inspired after starting that project. Anyone else?,9,47,59,3,2,17,14,4,18,5,1,1,0,58,0,0,0,2,0,3
181b3835-7731-4d12-ac38-f518d9a49f62_7,181b3835-7731-4d12-ac38-f518d9a49f62,2024-07-03 14:31:00,Just had an amazing salad at America! 😍,52,48,60,3,1,15,1,0,14,2,0,1,1,39,0,0,0,3,0,3
61305f24-dce7-45b6-a856-0a9083ab1579_13,61305f24-dce7-45b6-a856-0a9083ab1579,2025-04-06 20:39:00,Congratulations! You've been selected for a special TikTok feature! Verify at bit.ly/verify-now,53,49,54,5,3,1,1,1,20,6,1,0,2,95,0,0,1,9,1,2
8288e8a1-cae2-4fc7-b431-158cdff7c69a_0,8288e8a1-cae2-4fc7-b431-158cdff7c69a,2021-07-30 09:29:00,Join us this Wednesday for our special event on technology!,54,50,61,0,0,2,1,6,9,4,0,1,1,59,0,0,0,6,0,3
fbeafd55-f515-4c1f-b3a1-660cd2ee5f5a_7,fbeafd55-f515-4c1f-b3a1-660cd2ee5f5a,2024-01-16 06:44:00,Can't believe it's been two years since anniversary! Time flies.,55,27,62,3,2,6,0,0,6,1,0,1,1,64,0,0,0,3,0,0
7461a7a5-6dbe-410c-9235-ecec0e76b4bf_29,7461a7a5-6dbe-410c-9235-ecec0e76b4bf,2023-10-31 19:56:00,Finally got around to decluttering after putting it off forever! 😍,56,31,63,3,2,52,4,1,19,1,0,1,1,66,0,0,0,2,0,0
f2064674-b359-4947-9fa7-b5abb41bf605_12,f2064674-b359-4947-9fa7-b5abb41bf605,2022-07-05 09:17:00,Finally got around to going to the gym after putting it off forever! 👌,57,11,64,4,1,34,15,1,9,1,0,0,2,70,0,0,0,2,0,0
3505c361-1bfb-4903-9e9c-a1807cf1f38f_6,3505c361-1bfb-4903-9e9c-a1807cf1f38f,2025-03-12 11:54:00,SHOCKING: What famous actor did after getting fired will amaze you! account-verify.net #celebrity #news,58,51,65,5,3,0,0,0,11,2,0,0,2,103,2,0,0,1,1,5
7969c4c9-ff98-46da-8522-1cbc8db07fd2_13,7969c4c9-ff98-46da-8522-1cbc8db07fd2,2024-07-07 18:01:00,Just had an amazing pasta at our schools! 😍,59,52,66,3,2,7,2,2,18,6,1,0,2,43,0,0,0,3,0,4
04f910e6-e39c-466c-8219-d8271216f952_27,04f910e6-e39c-466c-8219-d8271216f952,2025-04-04 08:50:00,I can't believe this works! Made $500 from home in just so long! See how: account-verify.net #workfromhome,60,53,67,4,1,1,0,0,8,4,0,0,2,106,1,0,0,1,1,0
8f441daf-fa14-4b95-9413-5c88d33caba2_9,8f441daf-fa14-4b95-9413-5c88d33caba2,2025-03-17 16:03:00,BREAKING NEWS: pop star just revealed their secret to success! Read here: security-check.site,61,53,68,5,0,1,0,0,16,0,0,1,1,93,0,0,0,1,1,6
0f617b44-5c3b-460c-8916-d0a01c8ed803_32,0f617b44-5c3b-460c-8916-d0a01c8ed803,2025-04-05 23:51:00,"Quit my job thanks to crypto trading! Now I make $1,000K monthly from anywhere! Learn my system (link in bio) 🏝️ #financialfreedom",25,39,44,2,3,2,0,0,23,5,1,1,3,130,1,0,0,4,1,0
98160e13-cec1-4c69-9412-da0d5ba4e700_22,98160e13-cec1-4c69-9412-da0d5ba4e700,2022-09-14 14:30:00,We're hiring! Looking for a talented Marketing Manager to join our team.,62,54,69,2,0,1,0,7,14,2,0,0,2,72,0,0,0,6,0,5
e370127c-eedf-464a-a581-a84f21709798_26,e370127c-eedf-464a-a581-a84f21709798,2023-08-28 23:07:00,What does everyone think about the latest tech release? I'm curious to hear opinions.,63,25,70,4,2,1,1,0,23,0,0,1,0,85,0,0,0,2,0,0
275eda97-b261-4d7d-be1a-614ce2806af6_8,275eda97-b261-4d7d-be1a-614ce2806af6,2020-11-28 11:58:00,My thoughts on fitness: I have mixed feelings. What do you think?,64,55,71,4,1,2,9,7,11,5,1,0,2,65,0,0,0,2,0,3
c5b454dd-d978-4cec-a524-a2ac19ef0642_27,c5b454dd-d978-4cec-a524-a2ac19ef0642,2025-04-09 23:48:00,Nothing to do tonight... maybe you can entertain me? 😘 My private page has all my content (link in bio) 🔥,65,56,72,4,1,3,1,0,23,2,0,0,2,105,0,0,0,0,1,0
b6b3e880-2326-4852-abb8-618df5a258c7_15,b6b3e880-2326-4852-abb8-618df5a258c7,2020-09-27 01:40:00,ANALYSIS: What scientific breakthrough means for consumers. Read our full coverage.,66,19,73,4,1,9,18,4,1,6,1,1,1,83,0,0,0,10,0,2
785bd93d-8384-40df-ab60-057d15f46fa1_0,785bd93d-8384-40df-ab60-057d15f46fa1,2025-03-29 00:06:00,"Quit my job thanks to DeFi trading! Now I make $10,000K monthly from anywhere! Learn my system (link in bio) 🏝️ #financialfreedom",67,57,74,4,1,1,1,0,0,5,1,1,3,129,1,0,0,4,1,0
603dc9d0-a4e8-46fb-97bc-75125c452d44_17,603dc9d0-a4e8-46fb-97bc-75125c452d44,2023-06-28 19:56:00,Feeling grateful after decluttering. Anyone else?,68,6,75,3,2,5,2,2,19,2,0,1,0,49,0,0,0,2,0,1
